,dim_ad_channel_level1,install_deviceid_cnt,day1_ltv_sum,day2_ltv_sum,day3_ltv_sum,day4_ltv_sum,day5_ltv_sum,day6_ltv_sum,day7_ltv_sum,day30_ltv_sum,day60_ltv_sum,day90_ltv_sum,day180_ltv_sum,day360_ltv_sum,dt,diff_0,month,weekday,is_holiday,is_promo,days_to_next_promo,days_past_last_promo,season,day7_ltv_label,install_deviceid_cnt_zscore,lag_1_install_cnt_zscore,lag_2_install_cnt_zscore,lag_3_install_cnt_zscore,lag_4_install_cnt_zscore,lag_5_install_cnt_zscore,lag_6_install_cnt_zscore,lag_7_install_cnt_zscore,lag_1_install_cnt,lag_2_install_cnt,lag_3_install_cnt,lag_4_install_cnt,lag_5_install_cnt,lag_6_install_cnt,lag_7_install_cnt,avg_day1_ltv,lag_1_avg_day1_ltv,lag_2_avg_day1_ltv,lag_3_avg_day1_ltv,lag_4_avg_day1_ltv,lag_5_avg_day1_ltv,lag_6_avg_day1_ltv,lag_7_avg_day1_ltv,lag_1_contrib_ltv,lag_2_contrib_ltv,lag_3_contrib_ltv,lag_4_contrib_ltv,lag_5_contrib_ltv,lag_6_contrib_ltv,lag_7_contrib_ltv
42,信息流,29995,572527.37,794538.93,898724.18,971548.56,1055922.45,1123440.36,1169574.11,1496839.049,1724686.779,1819005.069,2111027.329,2603174.029,2022-01-10,0,1,0,0,0,0,9,winter,1169574.11,-1.7085555626337199,-0.9226914460146287,-0.827021031817522,-0.1970872656105982,0.9900956014716812,1.210634543289687,0.7645867680070724,0.6900383933080282,31260.0,31414.0,32428.0,34339.0,34694.0,33976.0,33856.0,19.08742690448408,17.959845169545744,19.46067040173171,19.69730572344887,15.882483473601443,14.720284198996945,14.717863786202026,16.531584061909264,24.956158349328216,29.629520595912652,32.59131306278525,31.608606831882117,32.82024845794662,34.91144190016482,37.50060816398866
46,信息流,27442,602824.39,828988.32,954323.6,1061352.45,1122369.53,1173380.42,1228826.04,1502142.17,1715758.13,1801094.28,2052228.42,2553483.37,2022-01-11,0,1,1,0,0,0,10,winter,1228826.04,-1.9535498206580657,-0.8456052039436279,-0.2966236371031407,-0.22979109853125532,0.21026210998752257,1.0395931568113732,1.1936551775452648,0.882059315891929,29995.0,31260.0,31414.0,32428.0,34339.0,34694.0,33976.0,21.96721776838423,19.08742690448408,17.959845169545744,19.46067040173171,19.69730572344887,15.882483473601443,14.720284198996945,14.717863786202026,26.489045840973496,29.289956493921945,32.47506977780607,34.830372825952885,34.375144005358344,34.45261313195365,34.91144190016482
50,信息流,27976,540164.75,736592.67,864968.33,954033.917,1014197.407,1079897.527,1130772.657,1389345.577,1585477.887,1689835.727,1952549.797,2371187.887,2022-01-12,0,1,2,0,0,0,0,winter,1130772.657,-1.2923463295539976,-1.506833645787668,-0.4813914766030975,0.02671049911898705,0.08856639181558865,0.49585129567503033,1.263426691410132,1.4060165739250252,27442.0,29995.0,31260.0,31414.0,32428.0,34339.0,34694.0,19.30814805547612,21.96721776838423,19.08742690448408,17.959845169545744,19.46067040173171,19.69730572344887,15.882483473601443,14.720284198996945,30.208742803002696,29.96246641106851,31.837728726807423,34.72333169924238,36.967644936474656,36.17407204636128,34.45261313195365
54,信息流,30933,578118.48,799125.59,892984.93,975971.03,1046852.56,1091566.79,1143475.72,1399777.541,1576592.691,1668233.701,1888976.881,2335341.513,2022-01-13,0,1,3,0,0,0,0,winter,1143475.72,0.0993252200459268,-1.301770430166622,-1.554792099836389,-0.3451210836062108,0.254265455967301,0.32723425208929374,0.8076911304509862,1.7131675550557142,27976.0,27442.0,29995.0,31260.0,31414.0,32428.0,34339.0,18.689376394142176,19.30814805547612,21.96721776838423,19.08742690448408,17.959845169545744,19.46067040173171,19.69730572344887,15.882483473601443,26.32944917071776,34.77602215581955,32.39035039173196,34.33892738323737,37.112190806646716,38.6443221906994,36.17407204636128
58,信息流,29814,600143.81,785858.69,862028.29,970730.81,1034224.09,1089470.56,1127106.77,1379694.254,1570478.834,1655415.824,1927031.704,2428962.852,2022-01-14,0,1,4,0,0,0,0,winter,1127106.77,-0.21304059049631588,0.48046463354841856,-1.352149260553708,-1.6830981342265303,-0.10086503593680118,0.6831243370896412,0.7785665216319907,1.406997528943305,30933.0,27976.0,27442.0,29995.0,31260.0,31414.0,32428.0,20.129597169115183,18.689376394142176,19.30814805547612,21.96721776838423,19.08742690448408,17.959845169545744,19.46067040173171,19.69730572344887,25.834079785342514,30.91822740920789,38.67620618030755,35.20328221370228,36.98152655150352,39.31616801426116,38.6443221906994
62,信息流,29959,715950.81,954885.9,1064372.13,1133242.78,1201089.99,1255985.71,1294745.01,1549049.753,1736219.823,1855943.413,2156260.533,2713149.743,2022-01-15,0,1,5,0,0,0,0,winter,1294745.01,0.08037106874924742,-0.025693140294128013,0.7928299625992313,-1.37014842458188,-1.7607573047830005,0.10670425168415443,1.0320230409246367,1.1446705457017388,29814.0,30933.0,27976.0,27442.0,29995.0,31260.0,31414.0,23.89768717246904,20.129597169115183,18.689376394142176,19.30814805547612,21.96721776838423,19.08742690448408,17.959845169545744,19.46067040173171,26.3587136915543,28.868358387482626,34.10187006720046,40.899698637125574,37.45425437572929,38.7783310940499,39.31616801426116
66,信息流,31639,701101.52,935194.14,1082338.41,1163436.06,1226240.04,1291346.14,1345761.76,1570803.26,1773531.15,1869103.58,2170275.69,2779489.35,2022-01-16,0,1,6,0,0,0,0,winter,1345761.76,1.257586611978794,0.05835544517057835,-0.04514962577417836,0.753623990689151,-1.3571656285084048,-1.7383498208153019,0.08405325588789726,0.9870457713714644,29959.0,29814.0,30933.0,27976.0,27442.0,29995.0,31260.0,22.159408325168304,23.89768717246904,20.129597169115183,18.689376394142176,19.30814805547612,21.96721776838423,19.08742690448408,17.959845169545744,31.873089889515672,28.913540283088484,31.55112759835774,36.252409458106946,42.75856060053932,38.992302383730625,38.7783310940499
70,信息流,28616,601437.34,854108.22,966152.24,1034730.11,1106314.67,1147301.25,1184388.88,1402464.24,1585735.13,1689769.87,1975291.203,2458536.853,2022-01-17,0,1,0,0,0,0,0,winter,1184388.88,-0.6912240177174237,1.5538151502221647,0.30615858318990913,0.19847393901152993,1.0295023309812288,-1.1665217575392353,-1.5630983092030595,0.33289408105488605,31639.0,29959.0,29814.0,30933.0,27976.0,27442.0,29995.0,21.017519569471624,22.159408325168304,23.89768717246904,20.129597169115183,18.689376394142176,19.30814805547612,21.96721776838423,19.08742690448408,29.558271121084736,35.527625421409255,32.55956295700007,33.842581062295935,38.60085526880183,44.77902631003571,38.992302383730625
74,信息流,27040,590869.44,820202.76,937608.05,1032289.46,1078105.3,1114208.28,1152841.92,1358050.91,1514373.33,1595648.96,1871645.4,2360871.22,2022-01-18,0,1,1,0,0,0,0,winter,1152841.92,-1.3691424648737822,-0.35960107665642177,1.576847918636142,0.5006870479475852,0.4078041156560134,1.1246041241682128,-0.7695671226330149,-1.1116325422447346,28616.0,31639.0,29959.0,29814.0,30933.0,27976.0,27442.0,21.851680473372777,21.017519569471624,22.159408325168304,23.89768717246904,20.129597169115183,18.689376394142176,19.30814805547612,21.96721776838423,29.84722602739726,34.20899554347482,37.82645548916853,34.68920943181056,35.28809976400608,40.41938293537317,44.77902631003571
78,信息流,27924,614855.36,816837.84,928929.94,1005266.05,1041752.22,1062485.98,1093197.81,1272532.3,1447199.48,1560499.38,1853904.997,2361119.567,2022-01-19,0,1,2,0,0,0,0,winter,1093197.81,-0.8750995110831788,-1.4639950998528277,-0.4141088465711912,1.5997275390064658,0.4805594517519293,0.38396458707817466,1.129410473767357,-0.8404585940967289,27040.0,28616.0,31639.0,29959.0,29814.0,30933.0,27976.0,22.01888554648331,21.851680473372777,21.017519569471624,22.159408325168304,23.89768717246904,20.129597169115183,18.689376394142176,19.30814805547612,30.332942307692306,33.7626586525021,36.7722134075034,40.09112420307754,36.54224726638492,36.96620825655449,40.41938293537317
82,信息流,28791,574329.84,811236.19,871181.7,920220.77,959253.73,981236.44,991281.96,1197876.58,1371321.22,1475413.73,1728788.42,2194755.57,2022-01-20,0,1,3,0,0,0,0,winter,991281.96,-0.3813315248444394,-0.9840925677617209,-1.5986724546577729,-0.5029960952141329,1.5986724546577729,0.43069257910871506,0.329884792230969,1.1078428164806093,27924.0,27040.0,28616.0,31639.0,29959.0,29814.0,30933.0,19.94824215900802,22.01888554648331,21.851680473372777,21.017519569471624,22.159408325168304,23.89768717246904,20.129597169115183,18.689376394142176,29.25217877094972,34.674853920118345,36.15914558289069,38.757231265210656,41.923485763877295,37.80461427517274,36.96620825655449
